"","Day","Daily.Avg..Relative.Humidity....","Daily.Avg..Wind.Speed..km.h."
"128","2001-05-08 00:00",NA,NA
"129","2001-05-09 00:00",NA,NA
"130","2001-05-10 00:00",NA,NA
"131","2001-05-11 00:00",NA,NA
"132","2001-05-12 00:00",NA,NA
"133","2001-05-13 00:00",NA,NA
"134","2001-05-14 00:00",NA,NA
"135","2001-05-15 00:00",NA,NA
"136","2001-05-16 00:00",NA,NA
"137","2001-05-17 00:00",NA,NA
"138","2001-05-18 00:00",NA,NA
"139","2001-05-19 00:00",NA,NA
"140","2001-05-20 00:00",NA,NA
"141","2001-05-21 00:00",NA,NA
"142","2001-05-22 00:00",NA,NA
"143","2001-05-23 00:00",NA,NA
"144","2001-05-24 00:00",NA,NA
"145","2001-05-25 00:00",NA,NA
"146","2001-05-26 00:00",NA,NA
"147","2001-05-27 00:00",NA,NA
"148","2001-05-28 00:00",NA,NA
"149","2001-05-29 00:00",NA,NA
"150","2001-05-30 00:00",NA,NA
"151","2001-05-31 00:00",NA,NA
"152","2001-06-01 00:00",NA,NA
"153","2001-06-02 00:00",NA,NA
"154","2001-06-03 00:00",NA,NA
"155","2001-06-04 00:00",NA,NA
"156","2001-06-05 00:00",NA,NA
"157","2001-06-06 00:00",NA,NA
"158","2001-06-07 00:00",NA,NA
"159","2001-06-08 00:00",NA,NA
"160","2001-06-09 00:00",NA,NA
"161","2001-06-10 00:00",NA,NA
"162","2001-06-11 00:00",NA,NA
"163","2001-06-12 00:00",NA,NA
"164","2001-06-13 00:00",NA,NA
"165","2001-06-14 00:00",NA,NA
"166","2001-06-15 00:00",NA,NA
"167","2001-06-16 00:00",NA,NA
"168","2001-06-17 00:00",NA,NA
"169","2001-06-18 00:00",NA,NA
"170","2001-06-19 00:00",NA,NA
"171","2001-06-20 00:00",NA,NA
"172","2001-06-21 00:00",61.3,7.1
"173","2001-06-22 00:00",69.4166666666667,11
"174","2001-06-23 00:00",84.6666666666667,18.1666666666667
"175","2001-06-24 00:00",94.375,17.875
"176","2001-06-25 00:00",93.625,12.2916666666667
"177","2001-06-26 00:00",79.6666666666667,11.625
"178","2001-06-27 00:00",75.25,12.4583333333333
"179","2001-06-28 00:00",60.2083333333333,18
"180","2001-06-29 00:00",64,12.5833333333333
"181","2001-06-30 00:00",84.1666666666667,15.625
"182","2001-07-01 00:00",94.1666666666667,11.0416666666667
"183","2001-07-02 00:00",78.875,22.1666666666667
"184","2001-07-03 00:00",65.1666666666667,16.5
"185","2001-07-04 00:00",69.5416666666667,15.0833333333333
"186","2001-07-05 00:00",93.4166666666667,14.0416666666667
"187","2001-07-06 00:00",93.1666666666667,12.0416666666667
"188","2001-07-07 00:00",79,17.875
"189","2001-07-08 00:00",84.4166666666667,12.125
"190","2001-07-09 00:00",87.375,13.125
"191","2001-07-10 00:00",93.8333333333333,14.0833333333333
"192","2001-07-11 00:00",91.9583333333333,12.5833333333333
"193","2001-07-12 00:00",89.4166666666667,13.6666666666667
"194","2001-07-13 00:00",79.0416666666667,19.625
"195","2001-07-14 00:00",83.125,10.3333333333333
"196","2001-07-15 00:00",77.9583333333333,8.79166666666667
"197","2001-07-16 00:00",87.0416666666667,10.0416666666667
"198","2001-07-17 00:00",84.125,8.5
"199","2001-07-18 00:00",89.125,6.58333333333333
"200","2001-07-19 00:00",83.75,4.95833333333333
"201","2001-07-20 00:00",65.7083333333333,8.66666666666667
"202","2001-07-21 00:00",64.1666666666667,11.6666666666667
"203","2001-07-22 00:00",72,19.125
"204","2001-07-23 00:00",81.375,17.2916666666667
"205","2001-07-24 00:00",86.7083333333333,20.2916666666667
"206","2001-07-25 00:00",83.2083333333333,13.9166666666667
"207","2001-07-26 00:00",74.2083333333333,9.58333333333333
"208","2001-07-27 00:00",71.3333333333333,12.2083333333333
"209","2001-07-28 00:00",76.2083333333333,7.70833333333333
"210","2001-07-29 00:00",72.7083333333333,9.79166666666667
"211","2001-07-30 00:00",74.125,7.41666666666667
"212","2001-07-31 00:00",76.0833333333333,7.625
"213","2001-08-01 00:00",69.2916666666667,9.83333333333333
"214","2001-08-02 00:00",69.9166666666667,13.7083333333333
"215","2001-08-03 00:00",72.6666666666667,14.375
"216","2001-08-04 00:00",80.1666666666667,6.20833333333333
"217","2001-08-05 00:00",77.5416666666667,9.25
"218","2001-08-06 00:00",78.25,17.0833333333333
"219","2001-08-07 00:00",82.3333333333333,18.5416666666667
"220","2001-08-08 00:00",65.8333333333333,11.9166666666667
"221","2001-08-09 00:00",67.375,10.875
"222","2001-08-10 00:00",81.0952380952381,20.5238095238095
"223","2001-08-11 00:00",60.8333333333333,14.5
"224","2001-08-12 00:00",71.125,7.29166666666667
"225","2001-08-13 00:00",89.7083333333333,8.70833333333333
"226","2001-08-14 00:00",88.6666666666667,7.70833333333333
"227","2001-08-15 00:00",73.3333333333333,7.08333333333333
"228","2001-08-16 00:00",79.7083333333333,9.70833333333333
"229","2001-08-17 00:00",76.8333333333333,10.625
"230","2001-08-18 00:00",90.9583333333333,13.6666666666667
"231","2001-08-19 00:00",87,11.875
"232","2001-08-20 00:00",90.125,8.75
"233","2001-08-21 00:00",94.4166666666667,10.7083333333333
"234","2001-08-22 00:00",88.125,9.33333333333333
"235","2001-08-23 00:00",82.0833333333333,8.75
"236","2001-08-24 00:00",85.875,15.0833333333333
"237","2001-08-25 00:00",67.2916666666667,7.58333333333333
"238","2001-08-26 00:00",67.5,16
"239","2001-08-27 00:00",85.875,12.7916666666667
"240","2001-08-28 00:00",93.7083333333333,8.33333333333333
"241","2001-08-29 00:00",93.875,9.33333333333333
"242","2001-08-30 00:00",69.8333333333333,8.25
"243","2001-08-31 00:00",75.5833333333333,19.2916666666667
"244","2001-09-01 00:00",89.75,17.8333333333333
"245","2001-09-02 00:00",81.0833333333333,11
"246","2001-09-03 00:00",72.2916666666667,11.2083333333333
"247","2001-09-04 00:00",65.375,15.6666666666667
"248","2001-09-05 00:00",91.5,15.875
"249","2001-09-06 00:00",72.8333333333333,14.5
"250","2001-09-07 00:00",75,9.45833333333333
"251","2001-09-08 00:00",74.5833333333333,14.2916666666667
"252","2001-09-09 00:00",77.4583333333333,12.7083333333333
"253","2001-09-10 00:00",86.125,15
"254","2001-09-11 00:00",85.625,11.8333333333333
"255","2001-09-12 00:00",71.1666666666667,8.5
"256","2001-09-13 00:00",79.5833333333333,6.54166666666667
"257","2001-09-14 00:00",84.5,10.75
"258","2001-09-15 00:00",74.5833333333333,8.66666666666667
"259","2001-09-16 00:00",72.9583333333333,14.2083333333333
"260","2001-09-17 00:00",75.5833333333333,7.33333333333333
"261","2001-09-18 00:00",83.4583333333333,12.0833333333333
"262","2001-09-19 00:00",71.125,12.2916666666667
"263","2001-09-20 00:00",75.25,7.95833333333333
"264","2001-09-21 00:00",82.1666666666667,12.1666666666667
"265","2001-09-22 00:00",96.4347826086957,18
"266","2001-09-23 00:00",94.4166666666667,9.54166666666667
"267","2001-09-24 00:00",88.25,5.25
"268","2001-09-25 00:00",90.0416666666667,7.04166666666667
"269","2001-09-26 00:00",96.125,12.25
"270","2001-09-27 00:00",97.4583333333333,13.5416666666667
"271","2001-09-28 00:00",78.875,10.0833333333333
"272","2001-09-29 00:00",87.125,10
"273","2001-09-30 00:00",82.6666666666667,6.79166666666667
"274","2001-10-01 00:00",80.1666666666667,6.83333333333333
"275","2001-10-02 00:00",83.4583333333333,7.875
"276","2001-10-03 00:00",80.5,8.83333333333333
"277","2001-10-04 00:00",84.2916666666667,18.4166666666667
"278","2001-10-05 00:00",82.7916666666667,9.625
"279","2001-10-06 00:00",87,22.4782608695652
"280","2001-10-07 00:00",79.5416666666667,14.25
"281","2001-10-08 00:00",82.2083333333333,7.91666666666667
"282","2001-10-09 00:00",69.2083333333333,13.2083333333333
"283","2001-10-10 00:00",67.5833333333333,14.3333333333333
"284","2001-10-11 00:00",76.1304347826087,13.1304347826087
"285","2001-10-12 00:00",88.7083333333333,12.6666666666667
"286","2001-10-13 00:00",88.5416666666667,9.45833333333333
"287","2001-10-14 00:00",87.4583333333333,11.3333333333333
"288","2001-10-15 00:00",96.25,20.25
"289","2001-10-16 00:00",83.7083333333333,9.75
"290","2001-10-17 00:00",92.75,22.5833333333333
"291","2001-10-18 00:00",70.5833333333333,24.2083333333333
"292","2001-10-19 00:00",70.2083333333333,17.5
"293","2001-10-20 00:00",85.5416666666667,15.2916666666667
"294","2001-10-21 00:00",79.2083333333333,14.0416666666667
"295","2001-10-22 00:00",80.4166666666667,18.875
"296","2001-10-23 00:00",67.2916666666667,10.7083333333333
"297","2001-10-24 00:00",94.2083333333333,12.6666666666667
"298","2001-10-25 00:00",96.8333333333333,13.6666666666667
"299","2001-10-26 00:00",72.3333333333333,12.0416666666667
"300","2001-10-27 00:00",91.3333333333333,7.29166666666667
"301","2001-10-28 00:00",92.5217391304348,5.65217391304348
"302","2001-10-29 00:00",82.3333333333333,8.29166666666667
"303","2001-10-30 00:00",73.4583333333333,18.2916666666667
"304","2001-10-31 00:00",61.625,14.9166666666667
"305","2001-11-01 00:00",85.4347826086957,11.7391304347826
"306","2001-11-02 00:00",94.5,17.3333333333333
"307","2001-11-03 00:00",96.5416666666667,14.4166666666667
"308","2001-11-04 00:00",97.1666666666667,4.33333333333333
"309","2001-11-05 00:00",98.1666666666667,9.95833333333333
"310","2001-11-06 00:00",95.625,12.6666666666667
"311","2001-11-07 00:00",90.125,29.5
"312","2001-11-08 00:00",68.0833333333333,20.375
"313","2001-11-09 00:00",86,22.2083333333333
"314","2001-11-10 00:00",67.75,26.7916666666667
"315","2001-11-11 00:00",94.875,12.0833333333333
"316","2001-11-12 00:00",75.0833333333333,15.0416666666667
"317","2001-11-13 00:00",69.2916666666667,19.0833333333333
"318","2001-11-14 00:00",87.625,7.95833333333333
"319","2001-11-15 00:00",97,10.0416666666667
"320","2001-11-16 00:00",90.875,20.1666666666667
"321","2001-11-17 00:00",65,14.7826086956522
"322","2001-11-18 00:00",85.7826086956522,7.39130434782609
"323","2001-11-19 00:00",92.0416666666667,14.0833333333333
"324","2001-11-20 00:00",95.375,19.625
"325","2001-11-21 00:00",86.25,12.4583333333333
"326","2001-11-22 00:00",89.625,4.95833333333333
"327","2001-11-23 00:00",95.4583333333333,6.70833333333333
"328","2001-11-24 00:00",91.5833333333333,9.54166666666667
"329","2001-11-25 00:00",89.7083333333333,14.2083333333333
"330","2001-11-26 00:00",94.625,15.5416666666667
"331","2001-11-27 00:00",95.1666666666667,13.9166666666667
"332","2001-11-28 00:00",95.6666666666667,13.5833333333333
"333","2001-11-29 00:00",77.25,10.4166666666667
"334","2001-11-30 00:00",NA,NA
"335","2001-12-01 00:00",NA,NA
"336","2001-12-02 00:00",84.5,8.16666666666667
"337","2001-12-03 00:00",91.2352941176471,8.47058823529412
"338","2001-12-04 00:00",92.4285714285714,16.4285714285714
"339","2001-12-05 00:00",NA,NA
"340","2001-12-06 00:00",NA,NA
"341","2001-12-07 00:00",55.4285714285714,25.2857142857143
"342","2001-12-08 00:00",57.9583333333333,19.3333333333333
"343","2001-12-09 00:00",83.6363636363636,3.63636363636364
"344","2001-12-10 00:00",90.5,7.5
"345","2001-12-11 00:00",NA,NA
"346","2001-12-12 00:00",NA,NA
"347","2001-12-13 00:00",NA,NA
"348","2001-12-14 00:00",NA,NA
"349","2001-12-15 00:00",NA,NA
"350","2001-12-16 00:00",NA,NA
"351","2001-12-17 00:00",NA,NA
"352","2001-12-18 00:00",NA,NA
"353","2001-12-19 00:00",NA,NA
"354","2001-12-20 00:00",NA,NA
"355","2001-12-21 00:00",NA,NA
"356","2001-12-22 00:00",NA,NA
"357","2001-12-23 00:00",NA,NA
"358","2001-12-24 00:00",NA,NA
"359","2001-12-25 00:00",NA,NA
"360","2001-12-26 00:00",NA,NA
"361","2001-12-27 00:00",NA,NA
"362","2001-12-28 00:00",NA,NA
"363","2001-12-29 00:00",NA,NA
"364","2001-12-30 00:00",NA,NA
"365","2001-12-31 00:00",NA,NA
"366","2002-01-01 00:00",NA,NA
"367","2002-01-02 00:00",NA,NA
"368","2002-01-03 00:00",NA,NA
"369","2002-01-04 00:00",62.5,20.7727272727273
"370","2002-01-05 00:00",71.9565217391304,9.78260869565217
"371","2002-01-06 00:00",93.0416666666667,8.625
"372","2002-01-07 00:00",96.1666666666667,19.875
"373","2002-01-08 00:00",90.5909090909091,19.9545454545455
"374","2002-01-09 00:00",92.0416666666667,12.0833333333333
"375","2002-01-10 00:00",98.3478260869565,11.0869565217391
"376","2002-01-11 00:00",95.0869565217391,9.60869565217391
"377","2002-01-12 00:00",84.9166666666667,12.2083333333333
"378","2002-01-13 00:00",91.0833333333333,20.875
"379","2002-01-14 00:00",85.4166666666667,25.5416666666667
"380","2002-01-15 00:00",88.4782608695652,8.47826086956522
"381","2002-01-16 00:00",95.2916666666667,17.7083333333333
"382","2002-01-17 00:00",91.1666666666667,9.04166666666667
"383","2002-01-18 00:00",96.0434782608696,7.82608695652174
"384","2002-01-19 00:00",91.0833333333333,8.95833333333333
"385","2002-01-20 00:00",93.375,7.25
"386","2002-01-21 00:00",90.4347826086957,9.1304347826087
"387","2002-01-22 00:00",94.6818181818182,23.4545454545455
"388","2002-01-23 00:00",81.7826086956522,14.0434782608696
"389","2002-01-24 00:00",95.2083333333333,10.75
"390","2002-01-25 00:00",94.0434782608696,9.65217391304348
"391","2002-01-26 00:00",89.9166666666667,9.54166666666667
"392","2002-01-27 00:00",83.3333333333333,8.5
"393","2002-01-28 00:00",95.4166666666667,15.1666666666667
"394","2002-01-29 00:00",94.7083333333333,9.25
"395","2002-01-30 00:00",94.1666666666667,9.33333333333333
"396","2002-01-31 00:00",67.4583333333333,13.3333333333333
"397","2002-02-01 00:00",80.1666666666667,7.91666666666667
"398","2002-02-02 00:00",87.9090909090909,24.5
"399","2002-02-03 00:00",71.1666666666667,12.4166666666667
"400","2002-02-04 00:00",80.1739130434783,14.9130434782609
"401","2002-02-05 00:00",77.375,27.1666666666667
"402","2002-02-06 00:00",63.875,21.6666666666667
"403","2002-02-07 00:00",64.2916666666667,10.25
"404","2002-02-08 00:00",93.75,12
"405","2002-02-09 00:00",75.4347826086957,16.6521739130435
"406","2002-02-10 00:00",66.4583333333333,13.7083333333333
"407","2002-02-11 00:00",89.9166666666667,32.5
"408","2002-02-12 00:00",77,15.5
"409","2002-02-13 00:00",82.3913043478261,19.3478260869565
"410","2002-02-14 00:00",63.0454545454545,17.8181818181818
"411","2002-02-15 00:00",81.5833333333333,22.75
"412","2002-02-16 00:00",92.1666666666667,13.4583333333333
"413","2002-02-17 00:00",92.695652173913,8.47826086956522
"414","2002-02-18 00:00",88,26.6521739130435
"415","2002-02-19 00:00",87.8695652173913,22.1304347826087
"416","2002-02-20 00:00",86.7083333333333,6
"417","2002-02-21 00:00",85.3333333333333,20.7916666666667
"418","2002-02-22 00:00",95,18.3478260869565
"419","2002-02-23 00:00",86.4347826086957,11.3913043478261
"420","2002-02-24 00:00",87,7.65217391304348
"421","2002-02-25 00:00",84.5416666666667,7.125
"422","2002-02-26 00:00",91.6666666666667,17.5416666666667
"423","2002-02-27 00:00",94,26.1304347826087
"424","2002-02-28 00:00",83.1666666666667,28.4166666666667
"425","2002-03-01 00:00",66.9130434782609,13.9565217391304
"426","2002-03-02 00:00",75.9166666666667,11.0416666666667
"427","2002-03-03 00:00",85.0416666666667,23.5
"428","2002-03-04 00:00",74.2083333333333,18
"429","2002-03-05 00:00",56.3333333333333,19.9166666666667
"430","2002-03-06 00:00",66,11.6666666666667
"431","2002-03-07 00:00",80.2083333333333,9.375
"432","2002-03-08 00:00",59.2083333333333,13.5
"433","2002-03-09 00:00",87.1666666666667,14.5
"434","2002-03-10 00:00",94,21.75
"435","2002-03-11 00:00",51.9166666666667,28.0416666666667
"436","2002-03-12 00:00",64.875,14.9583333333333
"437","2002-03-13 00:00",86.3333333333333,12.9166666666667
"438","2002-03-14 00:00",74.9583333333333,17.625
"439","2002-03-15 00:00",56.4583333333333,14.625
"440","2002-03-16 00:00",89.0416666666667,17.5
"441","2002-03-17 00:00",72.7916666666667,18.7083333333333
"442","2002-03-18 00:00",78.5652173913043,15.7391304347826
"443","2002-03-19 00:00",80.2608695652174,12.695652173913
"444","2002-03-20 00:00",71.9583333333333,8.875
"445","2002-03-21 00:00",89.5,15.625
"446","2002-03-22 00:00",84.6666666666667,21.7083333333333
"447","2002-03-23 00:00",56.7916666666667,30.625
"448","2002-03-24 00:00",60.25,25.625
"449","2002-03-25 00:00",50.625,21.75
"450","2002-03-26 00:00",66.3913043478261,6.26086956521739
"451","2002-03-27 00:00",89.0833333333333,21.125
"452","2002-03-28 00:00",93.6521739130435,11.695652173913
"453","2002-03-29 00:00",82.75,12.8333333333333
"454","2002-03-30 00:00",82.0833333333333,19.3333333333333
"455","2002-03-31 00:00",88.8333333333333,7.875
"456","2002-04-01 00:00",92.3333333333333,21.125
"457","2002-04-02 00:00",76.5833333333333,27.9166666666667
"458","2002-04-03 00:00",85.9583333333333,16.125
"459","2002-04-04 00:00",81.3478260869565,22.2173913043478
"460","2002-04-05 00:00",72.4166666666667,12.3333333333333
"461","2002-04-06 00:00",78.9565217391304,16.304347826087
"462","2002-04-07 00:00",76.6521739130435,16.4347826086957
"463","2002-04-08 00:00",77.9130434782609,13.3478260869565
"464","2002-04-09 00:00",87.6521739130435,18.9565217391304
"465","2002-04-10 00:00",83.875,16.7083333333333
"466","2002-04-11 00:00",61.5833333333333,9.875
"467","2002-04-12 00:00",63.75,16.5833333333333
"468","2002-04-13 00:00",89.3333333333333,15.625
"469","2002-04-14 00:00",91.5833333333333,14.5
"470","2002-04-15 00:00",91.8260869565217,8.91304347826087
"471","2002-04-16 00:00",90.625,11.0833333333333
"472","2002-04-17 00:00",76.5833333333333,14.5833333333333
"473","2002-04-18 00:00",84.304347826087,3.8695652173913
"474","2002-04-19 00:00",90.4583333333333,11.9166666666667
"475","2002-04-20 00:00",75.2083333333333,16.0416666666667
"476","2002-04-21 00:00",63.6086956521739,15.9565217391304
"477","2002-04-22 00:00",70.1666666666667,10.0833333333333
"478","2002-04-23 00:00",91.2083333333333,12.9166666666667
"479","2002-04-24 00:00",86.3913043478261,14.0434782608696
"480","2002-04-25 00:00",83.4166666666667,5.375
"481","2002-04-26 00:00",91.3333333333333,18.75
"482","2002-04-27 00:00",80.7083333333333,20.7916666666667
"483","2002-04-28 00:00",57.4166666666667,17.9166666666667
"484","2002-04-29 00:00",91.625,24.5833333333333
"485","2002-04-30 00:00",89.2916666666667,15.6666666666667
"486","2002-05-01 00:00",80.25,12.2916666666667
"487","2002-05-02 00:00",80.875,12.6666666666667
"488","2002-05-03 00:00",90.9166666666667,13.8333333333333
"489","2002-05-04 00:00",71.7916666666667,23.2916666666667
"490","2002-05-05 00:00",55.4583333333333,12.5416666666667
"491","2002-05-06 00:00",62.6666666666667,18.625
"492","2002-05-07 00:00",56,16.5416666666667
"493","2002-05-08 00:00",63.4583333333333,21.0833333333333
"494","2002-05-09 00:00",62.9583333333333,9.25
"495","2002-05-10 00:00",82.875,18.2083333333333
"496","2002-05-11 00:00",66.875,22.5
"497","2002-05-12 00:00",63.8333333333333,13.0833333333333
"498","2002-05-13 00:00",59.625,7.625
"499","2002-05-14 00:00",82.375,24.375
"500","2002-05-15 00:00",88,13.1666666666667
"501","2002-05-16 00:00",76.4583333333333,17.5
"502","2002-05-17 00:00",87.4166666666667,12
"503","2002-05-18 00:00",79.4583333333333,7.5
"504","2002-05-19 00:00",85.375,13.25
"505","2002-05-20 00:00",66.75,7.54166666666667
"506","2002-05-21 00:00",76.9166666666667,7.25
"507","2002-05-22 00:00",60.875,14.5833333333333
"508","2002-05-23 00:00",51.125,26.75
"509","2002-05-24 00:00",47.1666666666667,20.4166666666667
"510","2002-05-25 00:00",61,18.5
"511","2002-05-26 00:00",63.7916666666667,17.9583333333333
"512","2002-05-27 00:00",66.8333333333333,10.625
"513","2002-05-28 00:00",63.8333333333333,6.5
"514","2002-05-29 00:00",58.0833333333333,13.4583333333333
"515","2002-05-30 00:00",78.5,15.9583333333333
"516","2002-05-31 00:00",78.375,18.375
"517","2002-06-01 00:00",72.5,21.9583333333333
"518","2002-06-02 00:00",76.2916666666667,14.125
"519","2002-06-03 00:00",66.9583333333333,15.75
"520","2002-06-04 00:00",59.5833333333333,11
"521","2002-06-05 00:00",73.5,16.9166666666667
"522","2002-06-06 00:00",82.125,10.5416666666667
"523","2002-06-07 00:00",73.7083333333333,9.29166666666667
"524","2002-06-08 00:00",62.7083333333333,6.41666666666667
"525","2002-06-09 00:00",72.75,13.25
"526","2002-06-10 00:00",81.125,20.2916666666667
"527","2002-06-11 00:00",77.0416666666667,6.125
"528","2002-06-12 00:00",70.25,8.54166666666667
"529","2002-06-13 00:00",69.25,9.66666666666667
"530","2002-06-14 00:00",62.8333333333333,8.25
"531","2002-06-15 00:00",73.3333333333333,12.625
"532","2002-06-16 00:00",86,13.1739130434783
"533","2002-06-17 00:00",79.125,8.54166666666667
"534","2002-06-18 00:00",77.9166666666667,7.16666666666667
"535","2002-06-19 00:00",75.875,5.95833333333333
"536","2002-06-20 00:00",64.625,8.95833333333333
"537","2002-06-21 00:00",64.4583333333333,18.9583333333333
"538","2002-06-22 00:00",56.5416666666667,12.4583333333333
"539","2002-06-23 00:00",58.25,13.4166666666667
"540","2002-06-24 00:00",82,24.2916666666667
"541","2002-06-25 00:00",67.0416666666667,20.1666666666667
"542","2002-06-26 00:00",63.875,10.5
"543","2002-06-27 00:00",80.8333333333333,18.7083333333333
"544","2002-06-28 00:00",83.9583333333333,6.5
"545","2002-06-29 00:00",78.4583333333333,12.2916666666667
"546","2002-06-30 00:00",68,8.66666666666667
"547","2002-07-01 00:00",72.0833333333333,12.375
"548","2002-07-02 00:00",81.875,9.08333333333333
"549","2002-07-03 00:00",77.75,9.95833333333333
"550","2002-07-04 00:00",79.9583333333333,13.5416666666667
"551","2002-07-05 00:00",82.3333333333333,11
"552","2002-07-06 00:00",78.5,5.75
"553","2002-07-07 00:00",73.875,7
"554","2002-07-08 00:00",75.4166666666667,9.125
"555","2002-07-09 00:00",79.7083333333333,13.1666666666667
"556","2002-07-10 00:00",73,8.91666666666667
"557","2002-07-11 00:00",69,15.5
"558","2002-07-12 00:00",66.7083333333333,13.3333333333333
"559","2002-07-13 00:00",65.875,13.4583333333333
"560","2002-07-14 00:00",80.25,9.41666666666667
"561","2002-07-15 00:00",74.8333333333333,13.1666666666667
"562","2002-07-16 00:00",77.9583333333333,11.7916666666667
"563","2002-07-17 00:00",74.6666666666667,6.875
